n_concepts,rep,concepts,accuracy_drop,macro_f1_drop
10,0,"mfcc_1_std, onset_rate_proxy, mfcc_1_mean, zero_crossing_rate_mean, mfcc_5_std, mfcc_2_std, mfcc_5_mean, mfcc_12_mean, spectral_flatness_mean, mfcc_7_mean",0.01609195402298849,0.02297804937594561
10,1,"spectral_rolloff_mean, pitch_proxy_mean, spectral_bandwidth_mean, mfcc_12_mean, mfcc_10_mean, spectral_flatness_mean, duration, mfcc_6_mean, mfcc_6_std, mfcc_11_std",0.0007662835249042099,0.008374225012033276
10,2,"pitch_proxy_mean, mfcc_1_std, mfcc_5_mean, onset_rate_proxy, mfcc_13_std, mfcc_8_std, zero_crossing_rate_mean, mfcc_9_std, energy_mean, mfcc_6_std",0.04597701149425287,0.027261083968006194
10,3,"mfcc_6_std, mfcc_1_std, mfcc_8_mean, onset_rate_proxy, mfcc_7_std, mfcc_5_mean, mfcc_2_std, energy_std, spectral_rolloff_mean, mfcc_3_mean",0.050957854406130265,0.03728209958409312
10,4,"spectral_flatness_mean, mfcc_6_std, mfcc_8_std, mfcc_3_std, pitch_proxy_std, mfcc_9_std, mfcc_12_std, mfcc_4_mean, mfcc_1_mean, duration",0.04674329501915708,0.04034266277302137
10,5,"spectral_centroid_mean, mfcc_11_std, spectral_bandwidth_mean, pitch_proxy_std, mfcc_2_std, mfcc_4_mean, mfcc_7_std, mfcc_10_std, pitch_proxy_mean, mfcc_3_mean",0.0007662835249042099,0.019574365182515235
10,6,"spectral_flatness_mean, energy_mean, pitch_proxy_mean, mfcc_1_mean, mfcc_4_mean, energy_std, mfcc_11_std, mfcc_9_mean, mfcc_5_std, mfcc_7_std",0.0314176245210728,0.0192260288316487
10,7,"pause_ratio, mfcc_13_std, mfcc_4_std, mfcc_8_mean, mfcc_4_mean, voiced_ratio_proxy, mfcc_1_mean, mfcc_9_mean, spectral_rolloff_mean, mfcc_11_std",0.0846743295019157,0.05297950996968412
10,8,"mfcc_11_std, mfcc_7_mean, mfcc_3_std, mfcc_6_mean, pause_ratio, mfcc_8_mean, zero_crossing_rate_mean, mfcc_2_mean, mfcc_10_std, duration",0.0111111111111111,0.026606933186133247
10,9,"energy_mean, mfcc_2_std, mfcc_9_std, mfcc_9_mean, mfcc_2_mean, mfcc_12_mean, mfcc_4_mean, spectral_rolloff_mean, mfcc_11_mean, pause_ratio",0.05670498084291187,0.050643392046227004
10,10,"pitch_proxy_mean, spectral_bandwidth_mean, mfcc_8_std, mfcc_5_mean, mfcc_3_mean, onset_rate_proxy, spectral_rolloff_mean, mfcc_3_std, mfcc_9_mean, voiced_ratio_proxy",0.00957854406130268,0.008748587017286341
10,11,"pitch_proxy_std, mfcc_7_std, spectral_rolloff_mean, mfcc_10_std, mfcc_5_mean, onset_rate_proxy, mfcc_4_std, mfcc_7_mean, zero_crossing_rate_mean, mfcc_9_mean",0.04099616858237548,0.020290412866305174
10,12,"zero_crossing_rate_mean, spectral_rolloff_mean, mfcc_5_mean, mfcc_8_mean, spectral_flatness_mean, mfcc_11_std, mfcc_8_std, duration, mfcc_5_std, energy_mean",0.04444444444444445,0.03159030644324953
10,13,"spectral_flatness_mean, spectral_bandwidth_mean, pitch_proxy_std, spectral_rolloff_mean, mfcc_11_std, mfcc_10_mean, mfcc_1_std, mfcc_9_mean, pause_ratio, mfcc_4_mean",0.0367816091954023,0.023979397954241616
10,14,"mfcc_2_std, mfcc_7_mean, mfcc_11_std, mfcc_7_std, mfcc_10_std, mfcc_9_mean, spectral_flatness_mean, mfcc_6_mean, mfcc_5_std, spectral_bandwidth_mean",0.028352490421455934,0.03184532044834021
10,15,"mfcc_13_mean, mfcc_4_mean, mfcc_10_std, spectral_bandwidth_mean, pitch_proxy_mean, mfcc_6_std, spectral_centroid_mean, mfcc_2_std, mfcc_3_mean, zero_crossing_rate_mean",0.02490421455938696,0.024941413693275766
10,16,"mfcc_8_mean, mfcc_10_mean, mfcc_5_std, mfcc_7_std, spectral_bandwidth_mean, mfcc_4_std, mfcc_9_std, duration, spectral_flatness_mean, pause_ratio",0.021072796934865884,0.03252517585930728
10,17,"mfcc_2_mean, mfcc_2_std, mfcc_12_mean, mfcc_4_std, duration, mfcc_3_std, pitch_proxy_std, energy_std, mfcc_7_std, mfcc_9_std",0.04597701149425287,0.04053087193625962
10,18,"mfcc_8_mean, mfcc_6_mean, energy_mean, duration, zero_crossing_rate_mean, mfcc_2_mean, mfcc_10_mean, spectral_centroid_mean, mfcc_11_mean, mfcc_4_std",0.020306513409961674,0.02653557746182056
10,19,"mfcc_7_mean, energy_std, pitch_proxy_mean, mfcc_3_mean, mfcc_2_mean, mfcc_5_mean, mfcc_12_mean, pitch_proxy_std, mfcc_8_std, mfcc_4_mean",0.04176245210727969,0.02022625548293719
