model,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,accuracy_ci_low,accuracy_ci_high,macro_f1_ci_low,macro_f1_ci_high
Majority neutral,0.4812260536398467,0.0928238858916562,0.3126849060381001,0.06874657909140668,0.14285714285714285,0.4616858237547893,0.5,0.09039886253086882,0.09523809523809523
Black-box HuBERT,0.271264367816092,0.21356053362317012,0.3057747379147884,0.23117112423916572,0.24582998275184767,0.25363984674329504,0.286992337164751,0.19788612306570685,0.22893607335635918
CBM,0.23448275862068965,0.19240095913432248,0.26349417896426364,0.21445220232231624,0.24487263407232354,0.21839080459770116,0.25057471264367814,0.17745850539247449,0.20727785899132092
Oracle concepts,0.2222222222222222,0.18494380001135952,0.25446791367856875,0.21550454143211678,0.22175385505032558,0.20688697318007662,0.2367816091954023,0.17099049738127822,0.19954001333741078
